"severe chills, wet cough, shortness of breath, chest pain when deep breath, fatigue",Pneumonia
"productive cough, high fever, sharp chest pain, rapid shallow breathing, clammy skin",Pneumonia
"fever, cough with yellow mucus, severe chest pain, shortness of breath, body aches",Pneumonia
"cough with colored phlegm, chills, fever, chest soreness, rapid breathing",Pneumonia
"high fever, productive cough with colored phlegm, chest pain, difficulty breathing, chills",Pneumonia
"severe chills, wet cough, shortness of breath, chest pain when deep breath, fatigue",Pneumonia
"productive cough, high fever, sharp chest pain, rapid shallow breathing, clammy skin",Pneumonia
"fever, cough with yellow mucus, severe chest pain, shortness of breath, body aches",Pneumonia
"cough with colored phlegm, chills, fever, chest soreness, rapid breathing",Pneumonia
"high fever, productive cough with colored phlegm, chest pain, difficulty breathing, chills",Pneumonia
"severe chills, wet cough, shortness of breath, chest pain when deep breath, fatigue",Pneumonia
"productive cough, high fever, sharp chest pain, rapid shallow breathing, clammy skin",Pneumonia
"fever, cough with yellow mucus, severe chest pain, shortness of breath, body aches",Pneumonia
"cough with colored phlegm, chills, fever, chest soreness, rapid breathing",Pneumonia
"unexplained weight gain, constant fatigue, cold intolerance, dry skin, hair loss",Hypothyroidism
"extreme tiredness, sensitivity to cold, difficulty concentrating, slow heart rate, dry hair",Hypothyroidism
"fatigue, weight gain, constipation, cold hands and feet, brittle nails",Hypothyroidism
"lethargy, dry skin, cold intolerance, persistent fatigue, feeling sluggish",Hypothyroidism
"hair loss, weight gain, brain fog, cold sensitivity, chronic tiredness",Hypothyroidism
"unexplained weight gain, constant fatigue, cold intolerance, dry skin, hair loss",Hypothyroidism
"extreme tiredness, sensitivity to cold, difficulty concentrating, slow heart rate, dry hair",Hypothyroidism
"fatigue, weight gain, constipation, cold hands and feet, brittle nails",Hypothyroidism
"lethargy, dry skin, cold intolerance, persistent fatigue, feeling sluggish",Hypothyroidism
"hair loss, weight gain, brain fog, cold sensitivity, chronic tiredness",Hypothyroidism
"unexplained weight gain, constant fatigue, cold intolerance, dry skin, hair loss",Hypothyroidism
"extreme tiredness, sensitivity to cold, difficulty concentrating, slow heart rate, dry hair",Hypothyroidism
"fatigue, weight gain, constipation, cold hands and feet, brittle nails",Hypothyroidism
"lethargy, dry skin, cold intolerance, persistent fatigue, feeling sluggish",Hypothyroidism
"hair loss, weight gain, brain fog, cold sensitivity, chronic tiredness",Hypothyroidism
"unexplained weight gain, constant fatigue, cold intolerance, dry skin, hair loss",Hypothyroidism
"extreme tiredness, sensitivity to cold, difficulty concentrating, slow heart rate, dry hair",Hypothyroidism
"fatigue, weight gain, constipation, cold hands and feet, brittle nails",Hypothyroidism
"lethargy, dry skin, cold intolerance, persistent fatigue, feeling sluggish",Hypothyroidism
"hair loss, weight gain, brain fog, cold sensitivity, chronic tiredness",Hypothyroidism
"unexplained weight gain, constant fatigue, cold intolerance, dry skin, hair loss",Hypothyroidism
"extreme tiredness, sensitivity to cold, difficulty concentrating, slow heart rate, dry hair",Hypothyroidism
"fatigue, weight gain, constipation, cold hands and feet, brittle nails",Hypothyroidism
"lethargy, dry skin, cold intolerance, persistent fatigue, feeling sluggish",Hypothyroidism
"hair loss, weight gain, brain fog, cold sensitivity, chronic tiredness",Hypothyroidism
"unexplained weight gain, constant fatigue, cold intolerance, dry skin, hair loss",Hypothyroidism
"extreme tiredness, sensitivity to cold, difficulty concentrating, slow heart rate, dry hair",Hypothyroidism
"fatigue, weight gain, constipation, cold hands and feet, brittle nails",Hypothyroidism
"lethargy, dry skin, cold intolerance, persistent fatigue, feeling sluggish",Hypothyroidism
"hair loss, weight gain, brain fog, cold sensitivity, chronic tiredness",Hypothyroidism
"unexplained weight gain, constant fatigue, cold intolerance, dry skin, hair loss",Hypothyroidism
"extreme tiredness, sensitivity to cold, difficulty concentrating, slow heart rate, dry hair",Hypothyroidism
"fatigue, weight gain, constipation, cold hands and feet, brittle nails",Hypothyroidism
"lethargy, dry skin, cold intolerance, persistent fatigue, feeling sluggish",Hypothyroidism
"hair loss, weight gain, brain fog, cold sensitivity, chronic tiredness",Hypothyroidism
"unexplained weight gain, constant fatigue, cold intolerance, dry skin, hair loss",Hypothyroidism
"extreme tiredness, sensitivity to cold, difficulty concentrating, slow heart rate, dry hair",Hypothyroidism
"fatigue, weight gain, constipation, cold hands and feet, brittle nails",Hypothyroidism
"lethargy, dry skin, cold intolerance, persistent fatigue, feeling sluggish",Hypothyroidism
"hair loss, weight gain, brain fog, cold sensitivity, chronic tiredness",Hypothyroidism
"bloody diarrhea, severe abdominal cramps, urgent bowel movements, weight loss, tenesmus",Ulcerative Colitis (UC)
"frequent bloody diarrhea, severe cramping, urgency, rectal bleeding, constant fatigue",Ulcerative Colitis (UC)
"abdominal pain, bloody stools, extreme urgency, weight loss, fever",Ulcerative Colitis (UC)
"diarrhea with blood, severe lower abdominal cramps, tenesmus, malaise",Ulcerative Colitis (UC)
"bloody diarrhea, severe abdominal cramps, frequent urgent bowel movements, weight loss",Ulcerative Colitis (UC)
"bloody diarrhea, severe abdominal cramps, urgent bowel movements, weight loss, tenesmus",Ulcerative Colitis (UC)
"frequent bloody diarrhea, severe cramping, urgency, rectal bleeding, constant fatigue",Ulcerative Colitis (UC)
"abdominal pain, bloody stools, extreme urgency, weight loss, fever",Ulcerative Colitis (UC)
"diarrhea with blood, severe lower abdominal cramps, tenesmus, malaise",Ulcerative Colitis (UC)
"bloody diarrhea, severe abdominal cramps, frequent urgent bowel movements, weight loss",Ulcerative Colitis (UC)
"bloody diarrhea, severe abdominal cramps, urgent bowel movements, weight loss, tenesmus",Ulcerative Colitis (UC)
"frequent bloody diarrhea, severe cramping, urgency, rectal bleeding, constant fatigue",Ulcerative Colitis (UC)
"abdominal pain, bloody stools, extreme urgency, weight loss, fever",Ulcerative Colitis (UC)
"diarrhea with blood, severe lower abdominal cramps, tenesmus, malaise",Ulcerative Colitis (UC)
"bloody diarrhea, severe abdominal cramps, frequent urgent bowel movements, weight loss",Ulcerative Colitis (UC)
"bloody diarrhea, severe abdominal cramps, urgent bowel movements, weight loss, tenesmus",Ulcerative Colitis (UC)
"frequent bloody diarrhea, severe cramping, urgency, rectal bleeding, constant fatigue",Ulcerative Colitis (UC)
"abdominal pain, bloody stools, extreme urgency, weight loss, fever",Ulcerative Colitis (UC)
"diarrhea with blood, severe lower abdominal cramps, tenesmus, malaise",Ulcerative Colitis (UC)
"bloody diarrhea, severe abdominal cramps, frequent urgent bowel movements, weight loss",Ulcerative Colitis (UC)
"bloody diarrhea, severe abdominal cramps, urgent bowel movements, weight loss, tenesmus",Ulcerative Colitis (UC)
"frequent bloody diarrhea, severe cramping, urgency, rectal bleeding, constant fatigue",Ulcerative Colitis (UC)
"abdominal pain, bloody stools, extreme urgency, weight loss, fever",Ulcerative Colitis (UC)
"diarrhea with blood, severe lower abdominal cramps, tenesmus, malaise",Ulcerative Colitis (UC)
"bloody diarrhea, severe abdominal cramps, frequent urgent bowel movements, weight loss",Ulcerative Colitis (UC)
"bloody diarrhea, severe abdominal cramps, urgent bowel movements, weight loss, tenesmus",Ulcerative Colitis (UC)
"frequent bloody diarrhea, severe cramping, urgency, rectal bleeding, constant fatigue",Ulcerative Colitis (UC)
"abdominal pain, bloody stools, extreme urgency, weight loss, fever",Ulcerative Colitis (UC)
"diarrhea with blood, severe lower abdominal cramps, tenesmus, malaise",Ulcerative Colitis (UC)
"bloody diarrhea, severe abdominal cramps, frequent urgent bowel movements, weight loss",Ulcerative Colitis (UC)
"bloody diarrhea, severe abdominal cramps, urgent bowel movements, weight loss, tenesmus",Ulcerative Colitis (UC)
"frequent bloody diarrhea, severe cramping, urgency, rectal bleeding, constant fatigue",Ulcerative Colitis (UC)
"abdominal pain, bloody stools, extreme urgency, weight loss, fever",Ulcerative Colitis (UC)
"diarrhea with blood, severe lower abdominal cramps, tenesmus, malaise",Ulcerative Colitis (UC)
"bloody diarrhea, severe abdominal cramps, frequent urgent bowel movements, weight loss",Ulcerative Colitis (UC)
"bloody diarrhea, severe abdominal cramps, urgent bowel movements, weight loss, tenesmus",Ulcerative Colitis (UC)
"frequent bloody diarrhea, severe cramping, urgency, rectal bleeding, constant fatigue",Ulcerative Colitis (UC)
"abdominal pain, bloody stools, extreme urgency, weight loss, fever",Ulcerative Colitis (UC)
"diarrhea with blood, severe lower abdominal cramps, tenesmus, malaise",Ulcerative Colitis (UC)
"bloody diarrhea, severe abdominal cramps, frequent urgent bowel movements, weight loss",Ulcerative Colitis (UC)
symptoms,disease
"sudden severe pain in big toe, swelling, redness, joint heat, painful walking",Gout
"intense pain in toe joint, red swollen joint, extreme tenderness, warmth",Gout
"acute pain in joint, redness, swelling, limited movement, most often big toe",Gout
"severe joint pain, swelling, tenderness, red skin over joint, sudden onset",Gout
"big toe pain, warm swollen joint, redness, intense tenderness, fever",Gout
"sudden severe pain in big toe, swelling, redness, joint heat, painful walking",Gout
"intense pain in toe joint, red swollen joint, extreme tenderness, warmth",Gout
"acute pain in joint, redness, swelling, limited movement, most often big toe",Gout
"severe joint pain, swelling, tenderness, red skin over joint, sudden onset",Gout
"big toe pain, warm swollen joint, redness, intense tenderness, fever",Gout
"sudden severe pain in big toe, swelling, redness, joint heat, painful walking",Gout
"intense pain in toe joint, red swollen joint, extreme tenderness, warmth",Gout
"acute pain in joint, redness, swelling, limited movement, most often big toe",Gout
"severe joint pain, swelling, tenderness, red skin over joint, sudden onset",Gout
"big toe pain, warm swollen joint, redness, intense tenderness, fever",Gout
"sudden severe pain in big toe, swelling, redness, joint heat, painful walking",Gout
"intense pain in toe joint, red swollen joint, extreme tenderness, warmth",Gout
"acute pain in joint, redness, swelling, limited movement, most often big toe",Gout
"severe joint pain, swelling, tenderness, red skin over joint, sudden onset",Gout
"big toe pain, warm swollen joint, redness, intense tenderness, fever",Gout
"sudden severe pain in big toe, swelling, redness, joint heat, painful walking",Gout
"intense pain in toe joint, red swollen joint, extreme tenderness, warmth",Gout
"acute pain in joint, redness, swelling, limited movement, most often big toe",Gout
"severe joint pain, swelling, tenderness, red skin over joint, sudden onset",Gout
"big toe pain, warm swollen joint, redness, intense tenderness, fever",Gout
"sudden severe pain in big toe, swelling, redness, joint heat, painful walking",Gout
"intense pain in toe joint, red swollen joint, extreme tenderness, warmth",Gout
"acute pain in joint, redness, swelling, limited movement, most often big toe",Gout
"severe joint pain, swelling, tenderness, red skin over joint, sudden onset",Gout
"big toe pain, warm swollen joint, redness, intense tenderness, fever",Gout
"sudden severe pain in big toe, swelling, redness, joint heat, painful walking",Gout
"intense pain in toe joint, red swollen joint, extreme tenderness, warmth",Gout
"acute pain in joint, redness, swelling, limited movement, most often big toe",Gout
"severe joint pain, swelling, tenderness, red skin over joint, sudden onset",Gout
"big toe pain, warm swollen joint, redness, intense tenderness, fever",Gout
"sudden severe pain in big toe, swelling, redness, joint heat, painful walking",Gout
"intense pain in toe joint, red swollen joint, extreme tenderness, warmth",Gout
"acute pain in joint, redness, swelling, limited movement, most often big toe",Gout
"severe joint pain, swelling, tenderness, red skin over joint, sudden onset",Gout
"big toe pain, warm swollen joint, redness, intense tenderness, fever",Gout
"numbness and tingling in fingers, hand pain, wrist pain, weak grip, waking up with numb hand",Carpal Tunnel Syndrome (CTS)
"tingling in thumb index middle fingers, hand weakness, wrist discomfort, dropping objects",Carpal Tunnel Syndrome (CTS)
"hand pain, numbness, burning sensation in fingers, weak grip, frequent wrist pain",Carpal Tunnel Syndrome (CTS)
"waking with numb hand, tingling in thumb, wrist pain, weak grip, daytime numbness",Carpal Tunnel Syndrome (CTS)
"numbness and tingling in fingers, hand pain, wrist pain, difficulty gripping small objects",Carpal Tunnel Syndrome (CTS)
"numbness and tingling in fingers, hand pain, wrist pain, weak grip, waking up with numb hand",Carpal Tunnel Syndrome (CTS)
"tingling in thumb index middle fingers, hand weakness, wrist discomfort, dropping objects",Carpal Tunnel Syndrome (CTS)
"hand pain, numbness, burning sensation in fingers, weak grip, frequent wrist pain",Carpal Tunnel Syndrome (CTS)
"waking with numb hand, tingling in thumb, wrist pain, weak grip, daytime numbness",Carpal Tunnel Syndrome (CTS)
"numbness and tingling in fingers, hand pain, wrist pain, difficulty gripping small objects",Carpal Tunnel Syndrome (CTS)
"numbness and tingling in fingers, hand pain, wrist pain, weak grip, waking up with numb hand",Carpal Tunnel Syndrome (CTS)
"tingling in thumb index middle fingers, hand weakness, wrist discomfort, dropping objects",Carpal Tunnel Syndrome (CTS)
"hand pain, numbness, burning sensation in fingers, weak grip, frequent wrist pain",Carpal Tunnel Syndrome (CTS)
"waking with numb hand, tingling in thumb, wrist pain, weak grip, daytime numbness",Carpal Tunnel Syndrome (CTS)
"numbness and tingling in fingers, hand pain, wrist pain, difficulty gripping small objects",Carpal Tunnel Syndrome (CTS)
"numbness and tingling in fingers, hand pain, wrist pain, weak grip, waking up with numb hand",Carpal Tunnel Syndrome (CTS)
"tingling in thumb index middle fingers, hand weakness, wrist discomfort, dropping objects",Carpal Tunnel Syndrome (CTS)
"hand pain, numbness, burning sensation in fingers, weak grip, frequent wrist pain",Carpal Tunnel Syndrome (CTS)
"waking with numb hand, tingling in thumb, wrist pain, weak grip, daytime numbness",Carpal Tunnel Syndrome (CTS)
"numbness and tingling in fingers, hand pain, wrist pain, difficulty gripping small objects",Carpal Tunnel Syndrome (CTS)
"numbness and tingling in fingers, hand pain, wrist pain, weak grip, waking up with numb hand",Carpal Tunnel Syndrome (CTS)
"tingling in thumb index middle fingers, hand weakness, wrist discomfort, dropping objects",Carpal Tunnel Syndrome (CTS)
"hand pain, numbness, burning sensation in fingers, weak grip, frequent wrist pain",Carpal Tunnel Syndrome (CTS)
"waking with numb hand, tingling in thumb, wrist pain, weak grip, daytime numbness",Carpal Tunnel Syndrome (CTS)
"numbness and tingling in fingers, hand pain, wrist pain, difficulty gripping small objects",Carpal Tunnel Syndrome (CTS)
"numbness and tingling in fingers, hand pain, wrist pain, weak grip, waking up with numb hand",Carpal Tunnel Syndrome (CTS)
"tingling in thumb index middle fingers, hand weakness, wrist discomfort, dropping objects",Carpal Tunnel Syndrome (CTS)
"hand pain, numbness, burning sensation in fingers, weak grip, frequent wrist pain",Carpal Tunnel Syndrome (CTS)
"waking with numb hand, tingling in thumb, wrist pain, weak grip, daytime numbness",Carpal Tunnel Syndrome (CTS)
"numbness and tingling in fingers, hand pain, wrist pain, difficulty gripping small objects",Carpal Tunnel Syndrome (CTS)
"numbness and tingling in fingers, hand pain, wrist pain, weak grip, waking up with numb hand",Carpal Tunnel Syndrome (CTS)
"tingling in thumb index middle fingers, hand weakness, wrist discomfort, dropping objects",Carpal Tunnel Syndrome (CTS)
"hand pain, numbness, burning sensation in fingers, weak grip, frequent wrist pain",Carpal Tunnel Syndrome (CTS)
"waking with numb hand, tingling in thumb, wrist pain, weak grip, daytime numbness",Carpal Tunnel Syndrome (CTS)
"numbness and tingling in fingers, hand pain, wrist pain, difficulty gripping small objects",Carpal Tunnel Syndrome (CTS)
"numbness and tingling in fingers, hand pain, wrist pain, weak grip, waking up with numb hand",Carpal Tunnel Syndrome (CTS)
"tingling in thumb index middle fingers, hand weakness, wrist discomfort, dropping objects",Carpal Tunnel Syndrome (CTS)
"hand pain, numbness, burning sensation in fingers, weak grip, frequent wrist pain",Carpal Tunnel Syndrome (CTS)
"waking with numb hand, tingling in thumb, wrist pain, weak grip, daytime numbness",Carpal Tunnel Syndrome (CTS)
"numbness and tingling in fingers, hand pain, wrist pain, difficulty gripping small objects",Carpal Tunnel Syndrome (CTS)
"high fever, confusion, rapid heart rate, chills, clammy skin, low blood pressure",Sepsis
"fever, mental confusion, fast heartbeat, shaking chills, extremely low blood pressure",Sepsis
"shivering, high heart rate, confusion, fever, extreme fatigue, cold clammy skin",Sepsis
"life-threatening infection, confusion, fever, dizziness, rapid breathing, mottled skin",Sepsis
"chills, very high fever, low blood pressure, disorientation, rapid pulse",Sepsis
"high fever, confusion, rapid heart rate, chills, clammy skin, low blood pressure",Sepsis
"fever, mental confusion, fast heartbeat, shaking chills, extremely low blood pressure",Sepsis
"shivering, high heart rate, confusion, fever, extreme fatigue, cold clammy skin",Sepsis
"life-threatening infection, confusion, fever, dizziness, rapid breathing, mottled skin",Sepsis
"chills, very high fever, low blood pressure, disorientation, rapid pulse",Sepsis
"high fever, confusion, rapid heart rate, chills, clammy skin, low blood pressure",Sepsis
"fever, mental confusion, fast heartbeat, shaking chills, extremely low blood pressure",Sepsis
"shivering, high heart rate, confusion, fever, extreme fatigue, cold clammy skin",Sepsis
"life-threatening infection, confusion, fever, dizziness, rapid breathing, mottled skin",Sepsis
"chills, very high fever, low blood pressure, disorientation, rapid pulse",Sepsis
"high fever, confusion, rapid heart rate, chills, clammy skin, low blood pressure",Sepsis
"fever, mental confusion, fast heartbeat, shaking chills, extremely low blood pressure",Sepsis
"shivering, high heart rate, confusion, fever, extreme fatigue, cold clammy skin",Sepsis
"life-threatening infection, confusion, fever, dizziness, rapid breathing, mottled skin",Sepsis
"chills, very high fever, low blood pressure, disorientation, rapid pulse",Sepsis
"high fever, confusion, rapid heart rate, chills, clammy skin, low blood pressure",Sepsis
"fever, mental confusion, fast heartbeat, shaking chills, extremely low blood pressure",Sepsis
"shivering, high heart rate, confusion, fever, extreme fatigue, cold clammy skin",Sepsis
"life-threatening infection, confusion, fever, dizziness, rapid breathing, mottled skin",Sepsis
"chills, very high fever, low blood pressure, disorientation, rapid pulse",Sepsis
"high fever, confusion, rapid heart rate, chills, clammy skin, low blood pressure",Sepsis
"fever, mental confusion, fast heartbeat, shaking chills, extremely low blood pressure",Sepsis
"shivering, high heart rate, confusion, fever, extreme fatigue, cold clammy skin",Sepsis
"life-threatening infection, confusion, fever, dizziness, rapid breathing, mottled skin",Sepsis
"chills, very high fever, low blood pressure, disorientation, rapid pulse",Sepsis
"high fever, confusion, rapid heart rate, chills, clammy skin, low blood pressure",Sepsis
"fever, mental confusion, fast heartbeat, shaking chills, extremely low blood pressure",Sepsis
"shivering, high heart rate, confusion, fever, extreme fatigue, cold clammy skin",Sepsis
"life-threatening infection, confusion, fever, dizziness, rapid breathing, mottled skin",Sepsis
"chills, very high fever, low blood pressure, disorientation, rapid pulse",Sepsis
"high fever, confusion, rapid heart rate, chills, clammy skin, low blood pressure",Sepsis
"fever, mental confusion, fast heartbeat, shaking chills, extremely low blood pressure",Sepsis
"shivering, high heart rate, confusion, fever, extreme fatigue, cold clammy skin",Sepsis
"life-threatening infection, confusion, fever, dizziness, rapid breathing, mottled skin",Sepsis
"chills, very high fever, low blood pressure, disorientation, rapid pulse",Sepsis
"dry itchy skin patches, red inflamed skin, constant itching, scaling, sensitive skin",Eczema
"intense itching, patches of dry skin, red inflamed areas, cracking, weeping lesions",Eczema
"scaling, dry itchy rash, redness, thickened skin, flare-ups",Eczema
"constant intense itching, red patches, inflamed dry skin, blistering, weeping",Eczema
"itchy skin, flaky patches, redness, dry skin, severe scaling",Eczema
"dry itchy skin patches, red inflamed skin, constant itching, scaling, sensitive skin",Eczema
"intense itching, patches of dry skin, red inflamed areas, cracking, weeping lesions",Eczema
"scaling, dry itchy rash, redness, thickened skin, flare-ups",Eczema
"constant intense itching, red patches, inflamed dry skin, blistering, weeping",Eczema
"itchy skin, flaky patches, redness, dry skin, severe scaling",Eczema
"dry itchy skin patches, red inflamed skin, constant itching, scaling, sensitive skin",Eczema
"intense itching, patches of dry skin, red inflamed areas, cracking, weeping lesions",Eczema
"scaling, dry itchy rash, redness, thickened skin, flare-ups",Eczema
"constant intense itching, red patches, inflamed dry skin, blistering, weeping",Eczema
"itchy skin, flaky patches, redness, dry skin, severe scaling",Eczema
"dry itchy skin patches, red inflamed skin, constant itching, scaling, sensitive skin",Eczema
"intense itching, patches of dry skin, red inflamed areas, cracking, weeping lesions",Eczema
"scaling, dry itchy rash, redness, thickened skin, flare-ups",Eczema
"constant intense itching, red patches, inflamed dry skin, blistering, weeping",Eczema
"itchy skin, flaky patches, redness, dry skin, severe scaling",Eczema
"dry itchy skin patches, red inflamed skin, constant itching, scaling, sensitive skin",Eczema
"intense itching, patches of dry skin, red inflamed areas, cracking, weeping lesions",Eczema
"scaling, dry itchy rash, redness, thickened skin, flare-ups",Eczema
"constant intense itching, red patches, inflamed dry skin, blistering, weeping",Eczema
"itchy skin, flaky patches, redness, dry skin, severe scaling",Eczema
"dry itchy skin patches, red inflamed skin, constant itching, scaling, sensitive skin",Eczema
"intense itching, patches of dry skin, red inflamed areas, cracking, weeping lesions",Eczema
"scaling, dry itchy rash, redness, thickened skin, flare-ups",Eczema
"constant intense itching, red patches, inflamed dry skin, blistering, weeping",Eczema
"itchy skin, flaky patches, redness, dry skin, severe scaling",Eczema
"dry itchy skin patches, red inflamed skin, constant itching, scaling, sensitive skin",Eczema
"intense itching, patches of dry skin, red inflamed areas, cracking, weeping lesions",Eczema
"scaling, dry itchy rash, redness, thickened skin, flare-ups",Eczema
"constant intense itching, red patches, inflamed dry skin, blistering, weeping",Eczema
"itchy skin, flaky patches, redness, dry skin, severe scaling",Eczema
"dry itchy skin patches, red inflamed skin, constant itching, scaling, sensitive skin",Eczema
"intense itching, patches of dry skin, red inflamed areas, cracking, weeping lesions",Eczema
"scaling, dry itchy rash, redness, thickened skin, flare-ups",Eczema
"constant intense itching, red patches, inflamed dry skin, blistering, weeping",Eczema
"itchy skin, flaky patches, redness, dry skin, severe scaling",Eczema
"tremor at rest, stiffness, slow movement (bradykinesia), balance problems, stooped posture",Parkinson's Disease
"resting tremor, rigidity, slowness of movement, difficulty walking, balance impairment",Parkinson's Disease
"involuntary tremor, muscle stiffness, bradykinesia, impaired posture, difficulty writing",Parkinson's Disease
"slowness of movement, resting tremor, balance issues, rigid limbs, shuffling gait",Parkinson's Disease
"stiffness, resting tremor, bradykinesia, difficulty starting movement, stooped posture",Parkinson's Disease
"tremor at rest, stiffness, slow movement (bradykinesia), balance problems, stooped posture",Parkinson's Disease
"resting tremor, rigidity, slowness of movement, difficulty walking, balance impairment",Parkinson's Disease
"involuntary tremor, muscle stiffness, bradykinesia, impaired posture, difficulty writing",Parkinson's Disease
"slowness of movement, resting tremor, balance issues, rigid limbs, shuffling gait",Parkinson's Disease
"stiffness, resting tremor, bradykinesia, difficulty starting movement, stooped posture",Parkinson's Disease
"tremor at rest, stiffness, slow movement (bradykinesia), balance problems, stooped posture",Parkinson's Disease
"resting tremor, rigidity, slowness of movement, difficulty walking, balance impairment",Parkinson's Disease
"involuntary tremor, muscle stiffness, bradykinesia, impaired posture, difficulty writing",Parkinson's Disease
"slowness of movement, resting tremor, balance issues, rigid limbs, shuffling gait",Parkinson's Disease
"stiffness, resting tremor, bradykinesia, difficulty starting movement, stooped posture",Parkinson's Disease
"tremor at rest, stiffness, slow movement (bradykinesia), balance problems, stooped posture",Parkinson's Disease
"resting tremor, rigidity, slowness of movement, difficulty walking, balance impairment",Parkinson's Disease
"involuntary tremor, muscle stiffness, bradykinesia, impaired posture, difficulty writing",Parkinson's Disease
"slowness of movement, resting tremor, balance issues, rigid limbs, shuffling gait",Parkinson's Disease
"stiffness, resting tremor, bradykinesia, difficulty starting movement, stooped posture",Parkinson's Disease
"tremor at rest, stiffness, slow movement (bradykinesia), balance problems, stooped posture",Parkinson's Disease
"resting tremor, rigidity, slowness of movement, difficulty walking, balance impairment",Parkinson's Disease
"involuntary tremor, muscle stiffness, bradykinesia, impaired posture, difficulty writing",Parkinson's Disease
"slowness of movement, resting tremor, balance issues, rigid limbs, shuffling gait",Parkinson's Disease
"stiffness, resting tremor, bradykinesia, difficulty starting movement, stooped posture",Parkinson's Disease
"tremor at rest, stiffness, slow movement (bradykinesia), balance problems, stooped posture",Parkinson's Disease
"resting tremor, rigidity, slowness of movement, difficulty walking, balance impairment",Parkinson's Disease
"involuntary tremor, muscle stiffness, bradykinesia, impaired posture, difficulty writing",Parkinson's Disease
"slowness of movement, resting tremor, balance issues, rigid limbs, shuffling gait",Parkinson's Disease
"stiffness, resting tremor, bradykinesia, difficulty starting movement, stooped posture",Parkinson's Disease
"tremor at rest, stiffness, slow movement (bradykinesia), balance problems, stooped posture",Parkinson's Disease
"resting tremor, rigidity, slowness of movement, difficulty walking, balance impairment",Parkinson's Disease
"involuntary tremor, muscle stiffness, bradykinesia, impaired posture, difficulty writing",Parkinson's Disease
"slowness of movement, resting tremor, balance issues, rigid limbs, shuffling gait",Parkinson's Disease
"stiffness, resting tremor, bradykinesia, difficulty starting movement, stooped posture",Parkinson's Disease
"tremor at rest, stiffness, slow movement (bradykinesia), balance problems, stooped posture",Parkinson's Disease
"resting tremor, rigidity, slowness of movement, difficulty walking, balance impairment",Parkinson's Disease
"involuntary tremor, muscle stiffness, bradykinesia, impaired posture, difficulty writing",Parkinson's Disease
"slowness of movement, resting tremor, balance issues, rigid limbs, shuffling gait",Parkinson's Disease
"stiffness, resting tremor, bradykinesia, difficulty starting movement, stooped posture",Parkinson's Disease
"sudden severe eye pain, blurred vision, redness in eye, seeing halos around lights, headache",Glaucoma
"intense eye pain, blurred sight, red eye, nausea, seeing rainbows around light sources",Glaucoma
"severe headache, eye pain, nausea, loss of peripheral vision, blurred sight",Glaucoma
"seeing halos, sudden intense eye pain, vomiting, blurred vision, red eye",Glaucoma
"loss of peripheral vision, blurred sight, severe eye pain, headache, seeing halos",Glaucoma
"sudden severe eye pain, blurred vision, redness in eye, seeing halos around lights, headache",Glaucoma
"intense eye pain, blurred sight, red eye, nausea, seeing rainbows around light sources",Glaucoma
"severe headache, eye pain, nausea, loss of peripheral vision, blurred sight",Glaucoma
"seeing halos, sudden intense eye pain, vomiting, blurred vision, red eye",Glaucoma
"loss of peripheral vision, blurred sight, severe eye pain, headache, seeing halos",Glaucoma
"sudden severe eye pain, blurred vision, redness in eye, seeing halos around lights, headache",Glaucoma
"intense eye pain, blurred sight, red eye, nausea, seeing rainbows around light sources",Glaucoma
"severe headache, eye pain, nausea, loss of peripheral vision, blurred sight",Glaucoma
"seeing halos, sudden intense eye pain, vomiting, blurred vision, red eye",Glaucoma
"loss of peripheral vision, blurred sight, severe eye pain, headache, seeing halos",Glaucoma
"sudden severe eye pain, blurred vision, redness in eye, seeing halos around lights, headache",Glaucoma
"intense eye pain, blurred sight, red eye, nausea, seeing rainbows around light sources",Glaucoma
"severe headache, eye pain, nausea, loss of peripheral vision, blurred sight",Glaucoma
"seeing halos, sudden intense eye pain, vomiting, blurred vision, red eye",Glaucoma
"loss of peripheral vision, blurred sight, severe eye pain, headache, seeing halos",Glaucoma
"sudden severe eye pain, blurred vision, redness in eye, seeing halos around lights, headache",Glaucoma
"intense eye pain, blurred sight, red eye, nausea, seeing rainbows around light sources",Glaucoma
"severe headache, eye pain, nausea, loss of peripheral vision, blurred sight",Glaucoma
"seeing halos, sudden intense eye pain, vomiting, blurred vision, red eye",Glaucoma
"loss of peripheral vision, blurred sight, severe eye pain, headache, seeing halos",Glaucoma
"sudden severe eye pain, blurred vision, redness in eye, seeing halos around lights, headache",Glaucoma
"intense eye pain, blurred sight, red eye, nausea, seeing rainbows around light sources",Glaucoma
"severe headache, eye pain, nausea, loss of peripheral vision, blurred sight",Glaucoma
"seeing halos, sudden intense eye pain, vomiting, blurred vision, red eye",Glaucoma
"loss of peripheral vision, blurred sight, severe eye pain, headache, seeing halos",Glaucoma
"sudden severe eye pain, blurred vision, redness in eye, seeing halos around lights, headache",Glaucoma
"intense eye pain, blurred sight, red eye, nausea, seeing rainbows around light sources",Glaucoma
"severe headache, eye pain, nausea, loss of peripheral vision, blurred sight",Glaucoma
"seeing halos, sudden intense eye pain, vomiting, blurred vision, red eye",Glaucoma
"loss of peripheral vision, blurred sight, severe eye pain, headache, seeing halos",Glaucoma
"sudden severe eye pain, blurred vision, redness in eye, seeing halos around lights, headache",Glaucoma
